房屋信息链接,房屋地址,户型,房屋面积,朝向,装修,楼层,年份,房屋类型,价格,城市
https://cq.lianjia.com/ershoufang/106114980180.html,渝高花园    -  石桥铺 ,3室2厅 ,130, 东南 , 精装 , 高楼层(共9层)  ,暂无数据, 板塔结合,75,杭州
https://cq.lianjia.com/ershoufang/106115024099.html,协信星澜汇三期    -  龙洲湾 ,4室2厅 ,106, 南 , 毛坯 , 中楼层(共8层)  ,暂无数据, 板楼,83,杭州
https://cq.lianjia.com/ershoufang/106111376999.html,华润中央公园    -  大石坝 ,4室2厅 ,166, 南 , 毛坯 , 33层 ,2013, 板塔结合,188,杭州
https://cq.lianjia.com/ershoufang/106120429196.html,东原嘉阅湾风华著A区    -  蔡家 ,3室2厅 ,101, 西 , 精装 , 低楼层(共20层) ,2020, 板塔结合,73.2,杭州
https://cq.lianjia.com/ershoufang/106119764061.html,世茂拾光公园    -  汽博中心 ,1室1厅 ,37, 东南 , 毛坯 , 中楼层(共20层)  ,暂无数据, 塔楼,21,杭州
https://cq.lianjia.com/ershoufang/106118405473.html,彩云印象    -  蟠龙 ,2室1厅 ,76, 东南 南 , 精装 , 33层 ,2008, 塔楼,50,杭州
https://cq.lianjia.com/ershoufang/106118844732.html,金科廊桥水乡B区    -  大学城 ,4室2厅 ,210, 南 , 毛坯 , 1层 ,2011, 板楼,268,杭州
https://cq.lianjia.com/ershoufang/106119005077.html,星麓原悦郡    -  鹿角 ,3室2厅 ,99, 南 , 毛坯 , 高楼层(共31层)  ,暂无数据, 塔楼,70,杭州
https://cq.lianjia.com/ershoufang/106119181295.html,融信澜湾    -  龙洲湾 ,4室1厅 ,134, 南 , 毛坯 , 8层 ,2020, 板楼,115,杭州
https://cq.lianjia.com/ershoufang/106117086141.html,华润置地公园九里琅悦A区    -  中央公园 ,4室2厅 ,141, 南 , 毛坯 , 高楼层(共32层)  ,暂无数据, 板塔结合,160,杭州
https://cq.lianjia.com/ershoufang/106120738886.html,胜利西永九号    -  大学城 ,3室1厅 ,94, 南 , 毛坯 , 中楼层(共31层)  ,暂无数据, 塔楼,66,杭州
https://cq.lianjia.com/ershoufang/106119928481.html,水岸公园    -  李家沱 ,3室2厅 ,103, 东南 , 毛坯 , 低楼层(共32层)  ,暂无数据, 板塔结合,67,杭州
https://cq.lianjia.com/ershoufang/106119435598.html,珠江华轩    -  石桥铺 ,1室1厅 ,58, 西南 , 简装 , 23层  ,暂无数据, 塔楼,46,杭州
https://cq.lianjia.com/ershoufang/106114356321.html,璟樾云山一期    -  鹿角 ,4室2厅 ,127, 南 , 毛坯 , 中楼层(共18层)  ,暂无数据, 塔楼,103.8,杭州
https://cq.lianjia.com/ershoufang/106121253010.html,奥康阳光水岸    -  璧山 ,3室2厅 ,83, 南 , 简装 , 低楼层(共30层)  ,暂无数据, 板塔结合,38,杭州
https://cq.lianjia.com/ershoufang/106121162695.html,碧桂园渝南首府三期    -  李家沱 ,3室2厅 ,118, 南 , 毛坯 , 高楼层(共27层)  ,暂无数据, 塔楼,76,杭州
https://cq.lianjia.com/ershoufang/106121329411.html,林业局家属院    -  西段 ,4室2厅 ,160, 北 , 简装 , 中楼层(共10层)  ,暂无数据, 塔楼,48.8,杭州
https://cq.lianjia.com/ershoufang/106116026852.html,鸥鹏御府    -  璧山 ,4室2厅 ,119, 东南 , 毛坯 , 中楼层(共28层)  ,暂无数据, 塔楼,74,杭州
https://cq.lianjia.com/ershoufang/106115861925.html,龙湖云瑶玉陛瑶林二组团    -  中央公园 ,4室2厅 ,129, 南 , 毛坯 , 中楼层(共8层)  ,暂无数据, 板塔结合,200,杭州
https://cq.lianjia.com/ershoufang/106117271926.html,金科滨江中心    -  滨江新城 ,3室2厅 ,99, 东南 , 毛坯 , 中楼层(共16层)  ,暂无数据, 暂无数据,55,杭州
https://cq.lianjia.com/ershoufang/106118489702.html,林山郡    -  九曲河 ,4室2厅 ,137, 东南 , 毛坯 , 高楼层(共8层) ,2021, 板塔结合,239,杭州
https://cq.lianjia.com/ershoufang/106118589407.html,鸿府    -  回兴 ,3室2厅 ,101, 南 , 毛坯 , 11层  ,暂无数据, 板楼,106,杭州
https://cq.lianjia.com/ershoufang/106120588428.html,首创鸿恩国际生活区    -  大石坝 ,3室1厅 ,119, 南 , 精装 , 高楼层(共33层) ,2012, 塔楼,132,杭州
https://cq.lianjia.com/ershoufang/106121410935.html,龙湖紫都城    -  冉家坝 ,3室2厅 ,115, 西北 , 精装 , 高楼层(共31层) ,2008, 塔楼,150,杭州
https://cq.lianjia.com/ershoufang/106121008225.html,佳华世纪新城C区    -  嘉州 ,3室1厅 ,132, 东 西 , 精装 , 中楼层(共11层) ,2003, 塔楼,118,杭州
https://cq.lianjia.com/ershoufang/106121383531.html,国瑞城2期    -  步行街 ,2室1厅 ,89, 东南 , 简装 , 低楼层(共28层) ,2009, 塔楼,68,杭州
https://cq.lianjia.com/ershoufang/106120139312.html,天骄名城二期    -  大学城 ,2室1厅 ,65, 南 , 毛坯 , 低楼层(共32层) ,2014, 板塔结合,40.8,杭州
https://cq.lianjia.com/ershoufang/106119491558.html,北京城建龙樾生态城樾书府    -  悦来 ,3室2厅 ,91, 西南 , 毛坯 , 低楼层(共19层)  ,暂无数据, 塔楼,73,杭州
https://cq.lianjia.com/ershoufang/106120858299.html,恒大未来城一街区    -  大学城 ,3室1厅 ,94, 南 , 精装 , 32层  ,暂无数据, 塔楼,83,杭州
https://cq.lianjia.com/ershoufang/106119231555.html,建工锦绣华城    -  汽博中心 ,3室2厅 ,90, 南 , 毛坯 , 高楼层(共33层) ,2013, 塔楼,82,杭州
https://cq.lianjia.com/ershoufang/106119781322.html,恒大世纪城三期    -  照母山 ,3室2厅 ,119, 南 , 精装 , 低楼层(共28层) ,2020, 塔楼,155,杭州
https://cq.lianjia.com/ershoufang/106120633433.html,恒大优活城1期    -  西永 ,2室1厅 ,56, 东 , 精装 , 中楼层(共31层) ,2015, 塔楼,65,杭州
https://cq.lianjia.com/ershoufang/106116086342.html,珠江城长江府    -  李家沱 ,3室2厅 ,86, 东南 , 毛坯 , 高楼层(共31层)  ,暂无数据, 板塔结合,49.8,杭州
https://cq.lianjia.com/ershoufang/106117901202.html,璧山金茂悦    -  璧山 ,3室2厅 ,87, 南 , 毛坯 , 中楼层(共18层)  ,暂无数据, 板塔结合,48.8,杭州
https://cq.lianjia.com/ershoufang/106110642268.html,华远海蓝城    -  李家沱 ,3室2厅 ,103, 西南 , 毛坯 , 中楼层(共32层)  ,暂无数据, 板塔结合,71,杭州
https://cq.lianjia.com/ershoufang/106118447626.html,师大苑    -  大学城 ,4室2厅 ,183, 南 , 毛坯 , 中楼层(共11层) ,2009, 板楼,160,杭州
https://cq.lianjia.com/ershoufang/106120991026.html,渝开发格莱美城    -  西永 ,3室2厅 ,98, 南 , 精装 , 32层  ,暂无数据, 板塔结合,78,杭州
https://cq.lianjia.com/ershoufang/106120649103.html,枫桥水郡    -  汽博中心 ,2室2厅 ,71, 南 , 精装 , 中楼层(共6层) ,2004, 塔楼,49,杭州
https://cq.lianjia.com/ershoufang/106121562632.html,金科天宸宸寓    -  西永 ,1室0厅 ,30, 东 , 精装 , 高楼层(共32层)  ,暂无数据, 塔楼,16,杭州
https://cq.lianjia.com/ershoufang/106118523272.html,佳兆业篆山熙园    -  德感片区 ,3室2厅 ,96, 东南 , 精装 , 中楼层(共33层)  ,暂无数据, 暂无数据,62,杭州
https://cq.lianjia.com/ershoufang/106118199554.html,现代城    -  周家坝 ,3室2厅 ,115, 南 , 简装 , 低楼层(共20层)  ,暂无数据, 板楼,39.8,杭州
https://cq.lianjia.com/ershoufang/106119305515.html,恒泰悦府    -  璧山 ,3室2厅 ,101, 南 , 毛坯 , 中楼层(共33层)  ,暂无数据, 板塔结合,56,杭州
https://cq.lianjia.com/ershoufang/106120244040.html,启迪协信重庆科技城云洲    -  海尔路 ,4室2厅 ,138, 东南 , 毛坯 , 中楼层(共8层)  ,暂无数据, 板楼,118,杭州
https://cq.lianjia.com/ershoufang/106119946858.html,龙湖九里峰景    -  九曲河 ,4室1厅 ,134, 东南 , 毛坯 , 中楼层(共32层) ,2020, 塔楼,168,杭州
https://cq.lianjia.com/ershoufang/106120189039.html,北京城建龙樾生态城樾书府    -  悦来 ,3室2厅 ,98, 东南 , 精装 , 高楼层(共23层)  ,暂无数据, 塔楼,110,杭州
https://cq.lianjia.com/ershoufang/106119546741.html,欧街92    -  观音桥 ,3室2厅 ,105, 东南 , 精装 , 31层  ,暂无数据, 塔楼,199.9,杭州
https://cq.lianjia.com/ershoufang/106120489551.html,东原亲亲里    -  丹龙路 ,2室1厅 ,59, 南 , 精装 , 33层 ,2012, 板塔结合,55,杭州
https://cq.lianjia.com/ershoufang/106120203587.html,千江府二期    -  李家沱 ,3室2厅 ,84, 东南 , 毛坯 , 33层 ,2020, 塔楼,50,杭州
https://cq.lianjia.com/ershoufang/106120200753.html,保利林语溪    -  八公里 ,2室1厅 ,69, 西南 , 精装 , 19层 ,2015, 塔楼,70,杭州
https://cq.lianjia.com/ershoufang/106111324449.html,协信星都会    -  照母山 ,2室2厅 ,79, 东南 , 毛坯 , 33层 ,2017, 塔楼,88,杭州
https://cq.lianjia.com/ershoufang/106120934815.html,万科西九    -  石坪桥 ,2室1厅 ,53, 北 , 精装 , 34层 ,2016, 塔楼,76,杭州
https://cq.lianjia.com/ershoufang/106120927975.html,天城东路458号    -  周家坝 ,3室2厅 ,139, 南 北 , 简装 , 中楼层(共7层)  ,暂无数据, 暂无数据,38,杭州
https://cq.lianjia.com/ershoufang/106120932957.html,回龙湾    -  四公里 ,2室1厅 ,87, 东南 , 精装 , 27层 ,2006, 板塔结合,75,杭州
https://cq.lianjia.com/ershoufang/106108169518.html,新江与城悠澜    -  大竹林 ,3室2厅 ,105, 南 , 毛坯 , 低楼层(共31层)  ,暂无数据, 塔楼,134,杭州
https://cq.lianjia.com/ershoufang/106121105267.html,金辉御江府    -  融侨半岛 ,3室2厅 ,126, 西 , 毛坯 , 33层 ,2018, 塔楼,185,杭州
https://cq.lianjia.com/ershoufang/106121218039.html,朵力迎宾大道    -  双山 ,3室2厅 ,91, 南 , 毛坯 , 34层 ,2017, 板塔结合,66.6,杭州
https://cq.lianjia.com/ershoufang/106121217664.html,中国铁建香漫溪岸    -  璧山 ,2室2厅 ,76, 南 , 精装 , 高楼层(共32层)  ,暂无数据, 板塔结合,50,杭州
https://cq.lianjia.com/ershoufang/106114243546.html,中交中央公园和颂    -  中央公园 ,4室2厅 ,158, 南 , 毛坯 , 高楼层(共8层)  ,暂无数据, 塔楼,183,杭州
https://cq.lianjia.com/ershoufang/106116287718.html,鹏润鹿山台    -  中央公园 ,3室2厅 ,114, 南 北 , 毛坯 , 6层  ,暂无数据, 板楼,182,杭州
https://cq.lianjia.com/ershoufang/106114631337.html,松青大道60号    -  九宫庙 ,3室2厅 ,109, 东 东南 , 简装 , 高楼层(共18层) ,2009, 塔楼,70,杭州
https://cq.lianjia.com/ershoufang/106117275266.html,金科世界城(长寿)    -  古镇片区 ,3室2厅 ,87, 东南 , 精装 , 中楼层(共32层) ,2014, 板塔结合,57.6,杭州
https://cq.lianjia.com/ershoufang/106120315832.html,锦绣世家    -  中央公园东区 ,3室1厅 ,78, 南 东南 , 精装 , 中楼层(共19层)  ,暂无数据, 塔楼,59,杭州
https://cq.lianjia.com/ershoufang/106121562632.html,金科天宸宸寓    -  西永 ,1室0厅 ,30, 东 , 精装 , 高楼层(共32层)  ,暂无数据, 塔楼,16,杭州
https://cq.lianjia.com/ershoufang/106120991026.html,渝开发格莱美城    -  西永 ,3室2厅 ,98, 南 , 精装 , 32层  ,暂无数据, 板塔结合,78,杭州
https://cq.lianjia.com/ershoufang/106114383283.html,中建御湖壹号    -  双山 ,2室1厅 ,87, 东南 , 毛坯 , 41层 ,2018, 板塔结合,54.5,杭州
https://cq.lianjia.com/ershoufang/106114041661.html,新桥新村    -  凤天路 ,3室2厅 ,91, 南 北 , 简装 , 中楼层(共8层)  ,暂无数据, 板楼,56,杭州
https://cq.lianjia.com/ershoufang/106121375046.html,复地公园和光    -  中央公园 ,1室1厅 ,41, 东 , 毛坯 , 低楼层(共19层)  ,暂无数据, 塔楼,26.8,杭州
https://cq.lianjia.com/ershoufang/106121382578.html,金科中央公园城（江津）    -  滨江新城 ,3室2厅 ,111, 东南 , 精装 , 低楼层(共31层) ,2016, 塔楼,73.8,杭州
https://cq.lianjia.com/ershoufang/106121538469.html,名桂园    -  桃花新城 ,2室2厅 ,66, 东南 , 精装 , 高楼层(共18层) ,2010, 塔楼,25.8,杭州
https://cq.lianjia.com/ershoufang/106121423465.html,龙湖北滨910    -  北滨路 ,6室2厅 ,194, 南 , 毛坯 , 47层 ,2022, 塔楼,266,杭州
https://cq.lianjia.com/ershoufang/106109082682.html,御林    -  西永 ,2室1厅 ,73, 东南 , 毛坯 , 低楼层(共33层) ,2018, 塔楼,55,杭州
https://cq.lianjia.com/ershoufang/106120649103.html,枫桥水郡    -  汽博中心 ,2室2厅 ,71, 南 , 精装 , 中楼层(共6层) ,2004, 塔楼,49,杭州
https://cq.lianjia.com/ershoufang/106121373378.html,丽都锦城    -  八公里 ,2室2厅 ,82, 东南 , 精装 , 高楼层(共33层) ,2012, 塔楼,68,杭州
https://cq.lianjia.com/ershoufang/106121134956.html,龙湖U城一组团    -  大学城 ,1室1厅 ,46, 南 , 精装 , 高楼层(共34层) ,2013, 塔楼,32,杭州
https://cq.lianjia.com/ershoufang/106121410578.html,桂馥家园    -  中央公园东区 ,2室2厅 ,74, 东 , 精装 , 24层  ,暂无数据, 板楼,70,杭州
https://cq.lianjia.com/ershoufang/106121043280.html,加州1号    -  嘉州 ,1室1厅 ,42, 北 , 精装 , 高楼层(共30层) ,2008, 塔楼,50,杭州
https://cq.lianjia.com/ershoufang/106121497157.html,世茂茂悦府一二期    -  照母山 ,2室1厅 ,82, 东北 , 精装 , 32层 ,2016, 塔楼,127,杭州
https://cq.lianjia.com/ershoufang/106121134898.html,东林道一二期    -  璧山 ,3室1厅 ,116, 东 , 毛坯 , 中楼层(共25层)  ,暂无数据, 塔楼,57,杭州
https://cq.lianjia.com/ershoufang/106119655481.html,华润凤凰城    -  大渡口区府 ,3室1厅 ,112, 东南 , 毛坯 , 低楼层(共34层)  ,暂无数据, 塔楼,145,杭州
https://cq.lianjia.com/ershoufang/106119987253.html,锦绣江南（李家沱）    -  李家沱 ,2室1厅 ,93, 南 , 精装 , 高楼层(共30层) ,2010, 塔楼,49.8,杭州
https://cq.lianjia.com/ershoufang/106118859750.html,锦春绿岛    -  璧山 ,2室1厅 ,87, 东南 , 精装 , 低楼层(共32层) ,2015, 板塔结合,47.8,杭州
https://cq.lianjia.com/ershoufang/106119465633.html,曦圆青岗湾    -  李家沱 ,3室2厅 ,83, 南 , 精装 , 高楼层(共6层)  ,暂无数据, 板楼,103,杭州
https://cq.lianjia.com/ershoufang/106116955206.html,罗宾森广场尚城华府    -  解放碑 ,2室2厅 ,92, 西南 , 毛坯 , 47层 ,2021, 塔楼,126,杭州
https://cq.lianjia.com/ershoufang/106119061414.html,万达西江月    -  滨江新城 ,3室1厅 ,89, 东南 , 毛坯 , 中楼层(共9层)  ,暂无数据, 暂无数据,42,杭州
https://cq.lianjia.com/ershoufang/106120782006.html,万科朗润园    -  回兴 ,1室1厅 ,25, 南 , 精装 , 32层 ,2010, 塔楼,20,杭州
https://cq.lianjia.com/ershoufang/106119277716.html,北湖郡    -  鸳鸯 ,3室2厅 ,106, 东北 , 精装 , 高楼层(共7层) ,2007, 板楼,95,杭州
https://cq.lianjia.com/ershoufang/106108169518.html,新江与城悠澜    -  大竹林 ,3室2厅 ,105, 南 , 毛坯 , 低楼层(共31层)  ,暂无数据, 塔楼,134,杭州
https://cq.lianjia.com/ershoufang/106118329722.html,福星颐美华庭    -  杨家坪 ,2室1厅 ,43, 南 , 精装 , 28层 ,2012, 塔楼,30,杭州
https://cq.lianjia.com/ershoufang/106120932957.html,回龙湾    -  四公里 ,2室1厅 ,87, 东南 , 精装 , 27层 ,2006, 板塔结合,75,杭州
https://cq.lianjia.com/ershoufang/106120927975.html,天城东路458号    -  周家坝 ,3室2厅 ,139, 南 北 , 简装 , 中楼层(共7层)  ,暂无数据, 暂无数据,38,杭州
https://cq.lianjia.com/ershoufang/106109082682.html,御林    -  西永 ,2室1厅 ,73, 东南 , 毛坯 , 低楼层(共33层) ,2018, 塔楼,55,杭州
https://cq.lianjia.com/ershoufang/106121571383.html,威尼斯印象    -  界石 ,5室2厅 ,291, 南 , 其他 , 低楼层(共3层)  ,暂无数据, 暂无数据,90,杭州
https://cq.lianjia.com/ershoufang/106121562829.html,叠彩西城B区    -  华岩 ,3室1厅 ,73, 南 , 精装 , 33层  ,暂无数据, 塔楼,62,杭州
https://cq.lianjia.com/ershoufang/106120813924.html,鸿府    -  回兴 ,3室2厅 ,92, 南 , 毛坯 , 9层  ,暂无数据, 板楼,83,杭州
https://cq.lianjia.com/ershoufang/106118818289.html,华润中央公园    -  大石坝 ,3室2厅 ,125, 南 , 简装 , 25层 ,2010, 板塔结合,185,杭州
https://cq.lianjia.com/ershoufang/106121495443.html,聚义香城故事    -  中央公园东区 ,2室1厅 ,84, 北 , 精装 , 高楼层(共24层)  ,暂无数据, 塔楼,88,杭州
https://cq.lianjia.com/ershoufang/106121265955.html,劲力五星城自由地    -  北环 ,2室1厅 ,68, 南 , 精装 , 高楼层(共31层) ,2011, 板塔结合,85,杭州
https://cq.lianjia.com/ershoufang/106121431804.html,金科中央公园城（璧山）1号2号门    -  璧山 ,3室2厅 ,113, 南 , 精装 , 8层  ,暂无数据, 板塔结合,93.8,杭州
https://cq.lianjia.com/ershoufang/106121436192.html,雍江苑    -  化龙桥 ,3室2厅 ,146, 南 北 , 简装 , 18层 ,2009, 板楼,225,杭州
https://cq.lianjia.com/ershoufang/106121165660.html,重庆融创文旅城御逸    -  大学城 ,3室2厅 ,104, 东南 , 精装 , 低楼层(共33层)  ,暂无数据, 塔楼,81,杭州
https://cq.lianjia.com/ershoufang/106121569853.html,佳兆业广场二期    -  龙洲湾 ,2室2厅 ,53, 东南 , 简装 , 中楼层(共20层)  ,暂无数据, 塔楼,25,杭州
https://cq.lianjia.com/ershoufang/106121450686.html,万科西城二期    -  蟠龙 ,3室1厅 ,67, 南 , 精装 , 33层 ,2017, 塔楼,79,杭州
https://cq.lianjia.com/ershoufang/106111975483.html,重庆融创文旅城御珑    -  西永 ,3室2厅 ,105, 南 , 精装 , 低楼层(共17层)  ,暂无数据, 板塔结合,91,杭州
https://cq.lianjia.com/ershoufang/106112792801.html,龙湖两江新宸云澜    -  礼嘉 ,4室2厅 ,138, 东 , 毛坯 , 中楼层(共33层) ,2015, 塔楼,185,杭州
https://cq.lianjia.com/ershoufang/106114151306.html,重庆融创文旅城御麓    -  西永 ,3室2厅 ,99, 东南 , 精装 , 低楼层(共23层)  ,暂无数据, 塔楼,91,杭州
